8190           8190ZK13370           SXA18190SX21000000001.000                    20180115MB1B                9I4    
8190           8190ZP63760           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64260           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64280           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66530           SXA08190SX21000000050.000                    20180117MB1B                9I3    
8190           8190ZP66530           SXA08190SX21000000050.000                    20180117MB1B                9I3    
8190           8190ZP66530           SXA08190SX21000000050.000                    20180117MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62200           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61550           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61550           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61550           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZU49320           FLA08190FL21000000300.000                    20180117MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180117MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP65140           FLA08190FL91000000120.000                    20180117MB1B                9I3    
8190           8190ZP65140           FLA08190FL91000000120.000                    20180117MB1B                9I3    
8190           8190ZP65140           FLA08190FL91000000120.000                    20180117MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180117MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180117MB1B                9I3    
8190           8190ZP62660           FLA08190FL21000000300.000                    20180117MB1B                9I3    
8190           8190ZP62650           FLA08190FL21000000300.000                    20180117MB1B                9I3    
8190           8190ZP63140           FLA08190FL21000000120.000                    20180117MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180117MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190WZ70060           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP62190           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61740           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190W53415A           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190W53414A           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190W53414A           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190WZ70070           SX218190SX51000000005.000                    20180117MB1B                9I3    
8190           8190ZP61790           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67120           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20180117MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180117MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180117MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64200           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64180           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64210           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZY13520           VNA08190VN51000000120.000                    20180117MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP65080           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP67270           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67170           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190W967990           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190W967990           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZR01340           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZR01340           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180117MB1B                9I3    
8190           8190ZP64120           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180117MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZY84810           SX218190SX51000000010.000                    20180117MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180117MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180117MB1B                9I3    
