8190           8190ZH50320           SX518190SX91000000001.000                    20190320MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZH50320 8190 SX91
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190WQ4642E           SX218190SX51000000005.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZQ91970           CL218190CL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZQ91970 8190 CL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT45720 8190 FL21
8190           8190ZQ89650           CL218190CL51000000020.000                    20190322MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZQ89650 8190 CL21
