8190           8190WF9195A           CL518190CL91000000015.000                    20180824MB1B                9I4    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95140           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZR00510           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00980           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR01590           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZZ32410           SX218190SX51000000010.000                    20180825MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00310           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR01390           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR02220           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR02220           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR01360           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZR00890           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZT43180           SX518190SX91000000008.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20180825MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94630           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180825MB1B                9I3    
